#timestamp x y z qx qy qz qw
61.350003 9.956626 -1.328683 -5.878043 -0.016393 0.950529 -0.245651 -0.189427
62.366670 9.583411 -1.576849 -6.822242 -0.016260 0.950469 -0.245908 -0.189401
63.400003 9.183789 -1.831966 -7.772070 -0.016282 0.950532 -0.246099 -0.188836
64.416670 8.823381 -2.099235 -8.722507 -0.016758 0.961174 -0.247977 -0.119879
65.433337 8.637021 -2.351434 -9.620214 -0.016192 0.953700 -0.246072 -0.172171
71.450004 8.538280 -2.526099 -10.264904 -0.016881 0.966473 -0.247263 -0.067133
72.466670 7.922347 -2.728213 -11.064476 0.010517 -0.782023 0.210486 0.586536
73.466670 7.026752 -2.697589 -10.974742 0.002069 -0.383630 0.115328 0.916255
3.333334 4.128516 -1.178758 -5.406918 -0.011015 0.787247 -0.193097 0.585521
8.366667 4.805703 -1.302705 -5.400266 -0.013385 0.717870 -0.168754 0.675283
9.366667 5.830402 -1.258371 -5.353747 -0.009347 0.474506 -0.104737 0.873949
10.366667 6.593957 -1.075096 -4.753579 -0.011366 0.572432 -0.130372 0.809441
11.366667 7.587118 -1.048321 -4.844861 -0.015489 0.904587 -0.221398 0.363957
12.383334 8.153528 -1.250875 -5.652370 -0.016390 0.908145 -0.222746 0.354101
13.383334 9.024798 -1.336272 -6.012957 -0.015590 0.742792 -0.174670 0.646148
14.400001 9.971041 -1.462246 -6.296575 -0.020463 0.788415 -0.182429 0.587114
15.416667 10.967969 -1.457721 -6.298604 -0.019154 0.659524 -0.144077 0.737498
16.433334 11.920309 -1.360070 -6.040159 -0.012835 0.419910 -0.080217 0.903923
17.450001 12.183319 -1.118462 -5.127679 -0.002136 -0.116624 0.051789 0.991823
18.450001 11.442501 -0.964909 -4.595749 0.004088 -0.606279 0.170083 0.776840
19.466668 10.429416 -1.026238 -4.502497 0.000965 -0.606275 0.167550 0.777404
20.483334 9.707542 -0.827587 -3.842396 -0.004727 -0.336675 0.097653 0.936532
21.500001 8.880539 -0.662005 -3.287000 -0.002847 -0.493175 0.134579 0.859453
22.500001 7.884841 -0.602591 -3.067886 -0.002839 -0.599843 0.159364 0.784081
23.516668 6.886463 -0.548328 -2.818342 -0.002905 -0.601484 0.158317 0.783036
24.516668 5.895841 -0.499768 -2.615008 -0.002295 -0.602011 0.158086 0.782679
25.516668 4.915623 -0.544516 -2.412641 -0.002999 -0.602478 0.157144 0.782507
26.516668 3.924214 -0.571958 -2.391193 -0.000313 -0.798796 0.206984 0.564874
27.533335 3.053752 -0.722656 -2.940872 -0.001015 0.843683 -0.217690 -0.490723
28.550001 2.159452 -0.863647 -3.465685 -0.001600 0.843840 -0.217675 -0.490458
29.566668 1.296767 -1.026916 -4.048203 -0.003214 0.912125 -0.234744 -0.336027
30.583335 0.866079 -1.290377 -4.947413 -0.004352 0.953186 -0.242977 -0.179942
31.583335 0.520968 -1.525376 -5.906085 -0.004728 0.953049 -0.243182 -0.180385
32.583335 0.156044 -1.782808 -6.848234 -0.005054 0.953156 -0.242837 -0.180271
33.600002 -0.220460 -2.016240 -7.793786 -0.005458 0.953890 -0.243193 -0.175846
35.633335 -0.360519 -2.271818 -8.841045 -0.006201 0.968060 -0.246365 -0.046094
36.650002 -0.440520 -2.565961 -9.838874 -0.006608 0.968291 -0.245343 -0.046640
37.650002 -0.441944 -2.874897 -10.783656 -0.006034 0.968707 -0.243270 -0.048884
38.683335 -0.629924 -3.122809 -11.739882 -0.005790 0.903468 -0.228533 -0.362607
39.683335 -1.222826 -3.389661 -12.393795 -0.006076 0.942087 -0.233664 -0.240492
40.683335 -2.027985 -3.502432 -12.965500 0.006655 -0.680582 0.173226 0.711868
41.700002 -3.049695 -3.559667 -13.156738 -0.007992 0.938131 -0.234233 -0.254916
42.716669 -3.395552 -3.843889 -14.061606 -0.007520 0.960262 -0.235819 -0.149098
43.716669 -3.702077 -4.191654 -14.925046 -0.006603 0.961899 -0.229784 -0.148005
44.733336 -4.008865 -4.478389 -15.840075 -0.006212 0.962888 -0.226081 -0.147292
45.750002 -4.337471 -4.748656 -16.742226 -0.006033 0.964140 -0.222194 -0.145012
46.750002 -4.579525 -5.012323 -17.660067 -0.004306 0.969162 -0.219348 -0.112220
47.750002 -4.342149 -5.210826 -18.592155 0.002299 0.959246 -0.215346 0.182940
48.766669 -3.739805 -5.382139 -19.419174 0.008580 0.861005 -0.192692 0.470602
49.783336 -2.749761 -5.524379 -19.573019 0.011441 0.705569 -0.152772 0.691883
50.816669 -2.140312 -5.535055 -19.516790 0.009560 0.691749 -0.147943 0.706757
54.833336 -1.448327 -5.490329 -19.354757 0.008618 0.620304 -0.130536 0.773375
55.866670 -0.430212 -5.460663 -19.453033 -0.000277 0.809191 -0.177269 0.560165
56.883336 0.370009 -5.664646 -19.984871 -0.010657 0.903500 -0.197866 0.380032
57.900003 1.088290 -5.776323 -20.683788 -0.011578 0.904307 -0.198779 0.377599
58.900003 1.791022 -5.876859 -21.380951 -0.011432 0.904377 -0.199771 0.376914
59.900003 2.516922 -5.997041 -22.063259 -0.011808 0.905240 -0.199777 0.374821
60.933337 3.192951 -6.119688 -22.832140 -0.014428 0.937796 -0.210238 0.275919
61.933337 3.563039 -6.286345 -23.740894 -0.016443 0.960358 -0.218259 0.172640
62.933337 3.903746 -6.471656 -24.664183 -0.015908 0.955305 -0.216923 0.200211
63.933337 4.704728 -6.523005 -25.179979 -0.000716 0.715370 -0.154593 0.681430
64.950003 5.628418 -6.405226 -24.801392 0.005728 0.480731 -0.097203 0.871445
65.950003 5.798785 -6.376466 -24.699259 0.005560 0.459747 -0.092385 0.883214
68.950004 5.906948 -6.353920 -24.617945 0.006279 0.416585 -0.082279 0.905344
69.950004 6.198025 -6.271237 -24.292883 0.006906 0.318572 -0.058589 0.946061
70.966670 6.586211 -6.101288 -23.621099 0.006393 0.235275 -0.038520 0.971144
71.966670 7.069020 -5.880165 -22.724911 0.004208 0.234788 -0.038615 0.971270
72.966670 7.538197 -5.656339 -21.845984 0.001934 0.234196 -0.038580 0.971422
73.966671 8.004972 -5.412458 -20.972881 -0.000348 0.233203 -0.038946 0.971648
74.983337 8.476086 -5.178519 -20.084702 -0.002179 0.232272 -0.038858 0.971872
76.000004 8.954139 -4.938930 -19.190195 -0.004133 0.230799 -0.039004 0.972211
77.000004 9.414733 -4.706568 -18.320198 -0.005841 0.229274 -0.039095 0.972559
78.000004 9.869489 -4.462551 -17.441868 -0.006770 0.228066 -0.038994 0.972841
79.016671 10.183128 -4.275941 -16.793709 -0.007316 0.202091 -0.032520 0.978799
87.133338 10.245873 -4.230489 -16.625685 -0.006612 0.147988 -0.019040 0.988784
88.133338 10.405884 -3.979867 -15.681925 -0.006765 0.081488 -0.001956 0.996649
89.150005 10.571862 -3.706931 -14.697172 -0.007659 0.078969 -0.001942 0.996846
90.150005 10.996321 -3.462238 -13.852459 -0.013009 0.362919 -0.077296 0.928518
91.150005 11.679437 -3.252986 -13.155379 -0.012738 0.350570 -0.074191 0.933506
92.150005 11.910045 -2.995602 -12.203914 -0.007986 0.020589 0.012668 0.999676
93.166672 12.109029 -2.717815 -11.235355 -0.008809 0.071892 -0.001245 0.997373
94.183338 12.245190 -2.458267 -10.249641 -0.009112 0.069501 -0.000852 0.997540
95.200005 12.381668 -2.195743 -9.266799 -0.009236 0.067466 -0.000726 0.997679
96.200005 12.361648 -1.950915 -8.292314 -0.005027 -0.177612 0.062392 0.982108
97.216672 11.603875 -1.788918 -7.590000 -0.002232 -0.403321 0.118894 0.907299
98.216672 11.416159 -1.753836 -7.438513 -0.002282 -0.426797 0.125102 0.895650
100.250005 11.054482 -1.680698 -7.236622 -0.001322 -0.504649 0.145291 0.851010
101.266672 10.117993 -1.591958 -6.832483 -0.002338 -0.505258 0.146372 0.850461
102.283339 9.459200 -1.443897 -6.117349 -0.007772 -0.135981 0.048132 0.989511
103.283339 9.423265 -1.390606 -5.886944 -0.007926 -0.063351 0.027986 0.997567
105.333339 9.290799 -1.280822 -5.479316 -0.006785 -0.175941 0.056666 0.982745
106.333339 9.334734 -1.025076 -4.543541 -0.009880 0.107810 -0.017042 0.993976
107.333339 9.483638 -0.766265 -3.585155 -0.009049 0.047083 -0.001375 0.998849
108.333339 9.516464 -0.505012 -2.614890 -0.007631 -0.033158 0.019229 0.999236
109.333339 9.533787 -0.247016 -1.650842 -0.007938 0.061557 -0.005422 0.998057
110.333339 9.524626 0.007213 -0.680991 -0.006513 -0.027416 0.017696 0.999446
111.350006 9.649105 0.266425 0.292123 -0.008277 0.196219 -0.040136 0.979703
112.383339 10.057315 0.514132 1.211859 -0.008114 0.215730 -0.045158 0.975375
113.400006 10.297249 0.600996 1.512708 -0.010329 0.527506 -0.127052 0.839934
114.400006 9.611454 0.500428 1.180221 -0.009656 0.505808 -0.121180 0.854038
115.416673 8.725883 0.356188 0.698608 -0.008358 0.386303 -0.089586 0.917973
116.433339 8.341662 0.118628 -0.179009 -0.004405 -0.022336 0.015942 0.999614
117.433339 8.572054 -0.049061 -0.855520 -0.001571 -0.252426 0.074002 0.964781
118.433340 8.279825 0.038757 -0.488707 -0.000456 -0.343825 0.095859 0.934128
119.450006 7.597042 0.212111 0.268585 -0.000818 -0.340847 0.094249 0.935382
120.450006 6.943551 0.397969 1.000621 -0.000578 -0.315372 0.087363 0.944938
121.466673 6.522169 0.613791 1.878551 0.000392 -0.345368 0.095001 0.933647
122.466673 5.556715 0.629728 2.118724 0.003923 -0.776801 0.201202 0.596727
123.466673 4.774396 0.466873 1.428006 -0.005947 0.907928 -0.231759 -0.349169
124.483340 4.004533 0.310110 0.838061 0.004340 -0.732260 0.189081 0.654236
125.483340 2.979444 0.278634 0.761130 0.005533 -0.719187 0.185144 0.669672
126.483340 2.759966 0.241746 0.723206 0.006398 -0.735356 0.188783 0.650824
128.516673 1.812444 0.135955 0.377095 0.005084 -0.803986 0.208746 0.556781
129.516673 0.847590 0.133988 0.512004 0.000789 -0.410712 0.111945 0.904866
130.516673 0.539078 0.357456 1.415166 -0.001261 -0.069699 0.026507 0.997215
131.533340 0.254192 0.590755 2.354964 0.001253 -0.277302 0.079510 0.957486
132.533340 -0.473325 0.739529 3.034424 0.002080 -0.390431 0.108721 0.914188
133.550007 -1.393645 0.771973 3.431498 0.003361 -0.634018 0.168488 0.754733
134.550007 -2.363515 0.735780 3.611477 0.000680 -0.636170 0.167755 0.753091
135.550007 -3.349321 0.738165 3.798987 -0.001074 -0.638792 0.167965 0.750820
136.566674 -4.361220 0.783677 3.949620 -0.000816 -0.640127 0.169267 0.749390
137.600007 -5.387044 0.787549 4.091697 -0.001962 -0.661399 0.174473 0.729456
138.616674 -6.290100 0.886040 4.523943 -0.003866 -0.501952 0.133610 0.854504
139.633341 -7.124969 1.038165 5.089331 -0.004209 -0.427756 0.115154 0.896519
140.650007 -7.758265 1.221780 5.839074 -0.006678 -0.156835 0.044772 0.986587
141.650007 -7.499656 1.463940 6.724658 -0.008097 0.313243 -0.076873 0.946522
142.650007 -7.503717 1.460643 6.720837 -0.007577 0.251796 -0.060836 0.965837
236.883346 -7.495900 1.465216 6.739237 -0.007094 0.243702 -0.058919 0.968033
243.950013 -7.176257 1.693510 7.598940 -0.007047 0.173488 -0.040600 0.983974
244.950013 -6.943624 1.929928 8.493062 -0.005940 -0.102370 0.029762 0.994283
245.950013 -7.319358 2.042503 8.908642 -0.002975 -0.413009 0.109292 0.904141
246.966680 -7.835504 2.250193 9.740441 -0.003584 -0.166434 0.046100 0.984968
247.966680 -7.937866 2.498288 10.704082 -0.004554 0.026122 -0.002940 0.999644
248.983346 -7.735197 2.747478 11.659038 -0.005450 0.172580 -0.040729 0.984138
